SKU,Store,Pallet ID,Item ID,UPC,Description,Main Category,Subcategory,Brand,Model,Size,Color,Quantity,Appx. EXT Retail,Appx. Unit Retail,Approx. EXT Wholesale Value,Approx. Unit Wholesale Value,Your Price %,Your EXT Price,Your Unit Price $,% of Load QTY,% of Load $$,Notes
"CARA-LN-PREM015","","","","71249274392","Loreal Paris Extraordinaire Gel-Lacque 1-2-3 Nail Color, Shinetastic, 0.39 Fluid Ounce","","","Loreal","","","","14","153.86","10.99","0.00","0.00","5.00","7.69","0.55","0.0016","0.001670",""
"CARA-LN-PREM015","","","","639370098715","I0109661 0.5 Oz Vinylux Nail Polish - 108 Cream Puff for Women","","","CND","","","","14","153.86","10.99","0.00","0.00","5.00","7.69","0.55","0.0016","0.001670",""
"CARA-LN-PREM015","","","","74170435658","Sally Hansen Sh Miracle Gel Duo Pretty Piggy","","","Sally Hansen","","","","14","139.86","9.99","0.00","0.00","5.00","6.99","0.50","0.0016","0.001518",""
"CARA-LN-PREM015","","","","74170435627","Sally Hansen Sh Miracle Gel Duo Pink Up","","","Sally Hansen","","","","14","139.86","9.99","0.00","0.00","5.00","6.99","0.50","0.0016","0.001518",""
"CARA-LN-PREM015","","","","74170430257","sally hansen complete salon manicure nail polish, #852 grass is greener","","","Sally Hansen","","","","14","139.86","9.99","0.00","0.00","5.00","6.99","0.50","0.0016","0.001518",""
"CARA-LN-PREM015","","","","639370915401","CND Vinylux Weekly Nail Polish Ripe Guava 0.5 Fl Oz","","","CND","","","","13","142.87","10.99","0.00","0.00","5.00","7.14","0.55","0.0015","0.001550",""
"CARA-LN-PREM015","","","","639370098920","CND Weekly Nail Polish 15.0 ML PURPLE","","","CND","","","","13","142.87","10.99","0.00","0.00","5.00","7.14","0.55","0.0015","0.001550",""
"CARA-LN-PREM015","","","","74170430158","Sally Hansen ","","","Sally Hansen","","","","13","129.87","9.99","0.00","0.00","5.00","6.49","0.50","0.0015","0.001409",""
"CARA-LN-PREM015","","","","74170430202","Sally Hansen Complete Salon Manicure - SH - Teesta Turquoise - Sally Hansen","","","Sally Hansen","","","","13","129.87","9.99","0.00","0.00","5.00","6.49","0.50","0.0015","0.001409",""
"CARA-LN-PREM015","","","","639370001104","CND Vinylux Long Wear Nail Polish, Sassy Sapphire - 0.5 Oz | CVS","","","CND","","","","13","142.87","10.99","0.00","0.00","5.00","7.14","0.55","0.0015","0.001550",""
"CARA-LN-PREM015","","","","74170430387","Sally Hansen Insta-Dri - Color de u","","","Sally Hansen","","","","13","129.87","9.99","0.00","0.00","5.00","6.49","0.50","0.0015","0.001409",""
"CARA-LN-PREM015","","","","74170430752","Sally Hansen Limited Edition Miracle Gel Nail Polish - 170 Swimsical","","","Sally Hansen","","","","13","129.87","9.99","0.00","0.00","5.00","6.49","0.50","0.0015","0.001409",""
"CARA-LN-PREM015","","","","639370908809","I0107102 0.5 Oz Vinylux Weekly 200 Couture Covet Nail Polish for Women","","","CND","","","","13","142.87","10.99","0.00","0.00","5.00","7.14","0.55","0.0015","0.001550",""
"CARA-LN-PREM015","","","","639370927763","Vinylux Nail Polish, White Wedding","","","CND","","","","13","142.87","10.99","0.00","0.00","5.00","7.14","0.55","0.0015","0.001550",""
